timestamp,k40_rate,rolling_median,reason
2025-11-07 19:17:31.425037+00:00,0.012120,nan,K40 rate 0.0121 < absolute minimum 0.05
2025-11-07 20:19:38.380329+00:00,-0.007792,nan,K40 rate -0.0078 < absolute minimum 0.05
2025-11-07 21:21:43.737090+00:00,0.000833,nan,K40 rate 0.0008 < absolute minimum 0.05
2025-11-07 22:23:49.194071+00:00,0.000132,nan,K40 rate 0.0001 < absolute minimum 0.05
2025-11-07 23:25:57.421057+00:00,0.005322,nan,K40 rate 0.0053 < absolute minimum 0.05
2025-11-08 00:28:05.765007+00:00,0.006564,nan,K40 rate 0.0066 < absolute minimum 0.05
2025-11-08 01:30:17.268331+00:00,-0.002325,nan,K40 rate -0.0023 < absolute minimum 0.05
2025-11-08 02:32:20.397330+00:00,-0.004079,nan,K40 rate -0.0041 < absolute minimum 0.05
2025-11-08 03:34:27.462587+00:00,-0.001623,nan,K40 rate -0.0016 < absolute minimum 0.05
2025-11-08 04:36:33.259829+00:00,-0.000936,nan,K40 rate -0.0009 < absolute minimum 0.05
2025-11-08 05:38:41.746968+00:00,0.000848,nan,K40 rate 0.0008 < absolute minimum 0.05
2025-11-08 06:40:49.582799+00:00,0.008158,nan,K40 rate 0.0082 < absolute minimum 0.05
2025-11-08 07:42:55.379378+00:00,0.005556,nan,K40 rate 0.0056 < absolute minimum 0.05
2025-11-08 08:45:03.290548+00:00,-0.007632,nan,K40 rate -0.0076 < absolute minimum 0.05
2025-11-08 09:47:09.199943+00:00,-0.002442,nan,K40 rate -0.0024 < absolute minimum 0.05
2025-11-08 10:49:16.309334+00:00,0.001199,nan,K40 rate 0.0012 < absolute minimum 0.05
2025-11-08 11:51:24.265649+00:00,-0.010599,nan,K40 rate -0.0106 < absolute minimum 0.05
2025-11-08 12:53:30.582770+00:00,0.017251,nan,K40 rate 0.0173 < absolute minimum 0.05
2025-11-08 13:55:37.579277+00:00,0.004225,nan,K40 rate 0.0042 < absolute minimum 0.05
2025-11-08 14:57:45.053597+00:00,0.000219,nan,K40 rate 0.0002 < absolute minimum 0.05
2025-11-08 15:59:52.746408+00:00,-0.001301,nan,K40 rate -0.0013 < absolute minimum 0.05
2025-11-08 17:01:58.515776+00:00,0.003640,nan,K40 rate 0.0036 < absolute minimum 0.05
2025-11-08 18:04:06.021336+00:00,-0.002251,nan,K40 rate -0.0023 < absolute minimum 0.05
2025-11-08 19:06:11.731795+00:00,0.001287,nan,K40 rate 0.0013 < absolute minimum 0.05
2025-11-08 20:08:18.020798+00:00,0.001199,nan,K40 rate 0.0012 < absolute minimum 0.05
2025-11-08 21:10:25.759767+00:00,0.002588,nan,K40 rate 0.0026 < absolute minimum 0.05
2025-11-08 22:12:31.724768+00:00,-0.000629,nan,K40 rate -0.0006 < absolute minimum 0.05
2025-11-08 23:14:42.007984+00:00,0.044298,nan,K40 rate 0.0443 < absolute minimum 0.05
2025-11-09 01:18:55.100034+00:00,-0.021345,nan,K40 rate -0.0213 < absolute minimum 0.05
2025-11-09 02:21:01.387482+00:00,0.004269,nan,K40 rate 0.0043 < absolute minimum 0.05
2025-11-09 03:23:12.830736+00:00,-0.012602,nan,K40 rate -0.0126 < absolute minimum 0.05
2025-11-09 04:25:17.861794+00:00,-0.015073,nan,K40 rate -0.0151 < absolute minimum 0.05
2025-11-09 05:27:24.037778+00:00,-0.013158,nan,K40 rate -0.0132 < absolute minimum 0.05
2025-11-09 06:29:28.783679+00:00,0.004985,nan,K40 rate 0.0050 < absolute minimum 0.05
2025-11-09 07:31:34.596725+00:00,0.000307,nan,K40 rate 0.0003 < absolute minimum 0.05
2025-11-09 08:33:42.269762+00:00,-0.007836,nan,K40 rate -0.0078 < absolute minimum 0.05
2025-11-09 09:35:48.241904+00:00,-0.002705,nan,K40 rate -0.0027 < absolute minimum 0.05
2025-11-09 10:37:56.598319+00:00,0.028728,nan,K40 rate 0.0287 < absolute minimum 0.05
2025-11-09 11:40:01.364660+00:00,0.005439,nan,K40 rate 0.0054 < absolute minimum 0.05
2025-11-09 12:42:04.179400+00:00,0.002266,nan,K40 rate 0.0023 < absolute minimum 0.05
2025-11-09 13:44:09.379108+00:00,0.003143,nan,K40 rate 0.0031 < absolute minimum 0.05
2025-11-09 14:46:15.646609+00:00,0.002529,nan,K40 rate 0.0025 < absolute minimum 0.05
2025-11-09 15:48:22.640096+00:00,-0.000351,nan,K40 rate -0.0004 < absolute minimum 0.05
2025-11-09 16:50:27.167853+00:00,0.000175,nan,K40 rate 0.0002 < absolute minimum 0.05
2025-11-09 17:52:35.022507+00:00,0.000409,nan,K40 rate 0.0004 < absolute minimum 0.05
2025-11-09 18:54:39.411542+00:00,0.000950,nan,K40 rate 0.0010 < absolute minimum 0.05
2025-11-09 19:56:46.968971+00:00,0.004313,nan,K40 rate 0.0043 < absolute minimum 0.05
2025-11-09 20:58:53.556144+00:00,0.001287,nan,K40 rate 0.0013 < absolute minimum 0.05
2025-11-09 22:01:03.422759+00:00,-0.003377,nan,K40 rate -0.0034 < absolute minimum 0.05
2025-11-09 23:03:08.061072+00:00,0.001228,nan,K40 rate 0.0012 < absolute minimum 0.05
2025-11-10 00:05:16.014263+00:00,0.015263,nan,K40 rate 0.0153 < absolute minimum 0.05
2025-11-10 01:07:29.364289+00:00,-0.011184,nan,K40 rate -0.0112 < absolute minimum 0.05
2025-11-10 02:09:35.969328+00:00,-0.002675,nan,K40 rate -0.0027 < absolute minimum 0.05
