Energy(keV),Counts
1.129542930790136790e+00,1.300000000000000000e+01
1.461732213447504591e+00,4.900000000000000000e+01
1.793921496104872171e+00,1.623000000000000000e+03
2.126110778762239750e+00,2.068000000000000000e+03
2.458300061419607552e+00,9.010000000000000000e+02
2.790489344076975353e+00,2.230000000000000000e+02
3.122678626734343155e+00,2.700000000000000000e+01
3.454867909391710512e+00,7.200000000000000000e+01
3.787057192049078314e+00,1.530000000000000000e+02
4.119246474706446115e+00,1.570000000000000000e+02
4.451435757363814361e+00,1.800000000000000000e+02
4.783625040021181718e+00,1.730000000000000000e+02
5.115814322678549075e+00,1.370000000000000000e+02
5.448003605335916433e+00,1.490000000000000000e+02
5.780192887993283790e+00,1.540000000000000000e+02
6.112382170650652924e+00,1.090000000000000000e+02
6.444571453308020281e+00,1.060000000000000000e+02
6.776760735965387639e+00,1.260000000000000000e+02
7.108950018622754996e+00,5.800000000000000000e+01
7.441139301280122353e+00,4.300000000000000000e+01
7.773328583937491487e+00,4.800000000000000000e+01
8.105517866594858845e+00,4.900000000000000000e+01
8.437707149252226202e+00,3.700000000000000000e+01
8.769896431909593559e+00,3.400000000000000000e+01
9.102085714566960917e+00,4.100000000000000000e+01
9.434274997224330050e+00,4.200000000000000000e+01
9.766464279881697408e+00,3.700000000000000000e+01
1.009865356253906477e+01,2.400000000000000000e+01
1.043084284519643212e+01,2.300000000000000000e+01
1.076303212785379948e+01,3.200000000000000000e+01
1.109522141051116861e+01,1.900000000000000000e+01
1.142741069316853597e+01,2.000000000000000000e+01
1.175959997582590333e+01,3.400000000000000000e+01
1.209178925848327069e+01,2.800000000000000000e+01
1.242397854114063804e+01,1.500000000000000000e+01
1.275616782379800718e+01,1.700000000000000000e+01
1.308835710645537453e+01,1.600000000000000000e+01
1.342054638911274189e+01,1.300000000000000000e+01
1.375273567177010925e+01,2.100000000000000000e+01
1.408492495442747661e+01,2.000000000000000000e+01
1.441711423708484574e+01,1.400000000000000000e+01
1.474930351974221310e+01,2.000000000000000000e+01
1.508149280239958046e+01,1.600000000000000000e+01
1.541368208505694781e+01,1.800000000000000000e+01
1.574587136771431517e+01,1.700000000000000000e+01
1.607806065037168253e+01,1.600000000000000000e+01
1.641024993302904988e+01,1.700000000000000000e+01
1.674243921568641724e+01,1.500000000000000000e+01
1.707462849834378460e+01,1.300000000000000000e+01
1.740681778100115551e+01,8.000000000000000000e+00
1.773900706365852287e+01,1.500000000000000000e+01
1.807119634631589022e+01,1.600000000000000000e+01
1.840338562897325758e+01,1.800000000000000000e+01
1.873557491163062494e+01,1.000000000000000000e+01
1.906776419428799230e+01,1.000000000000000000e+01
1.939995347694535965e+01,2.200000000000000000e+01
1.973214275960272701e+01,1.800000000000000000e+01
2.006433204226009437e+01,1.600000000000000000e+01
2.039652132491746173e+01,1.300000000000000000e+01
2.072871060757483264e+01,1.400000000000000000e+01
2.106089989023219999e+01,1.900000000000000000e+01
2.139308917288956735e+01,1.500000000000000000e+01
2.172527845554693471e+01,1.300000000000000000e+01
